,NETWORKNAME,CONVNAME,BATCHSIZE,INPUT_CHANNEL,INPUT_SIZE,OUTPUT_CHANNEL,KERNEL_SIZE,STRIDE,PADDING,OUTPUT_SIZE,256x64_TILE_NUMS,256x96_TILE_NUMS,192x64_TILE_NUMS,384x64_TILE_NUMS,256x64_FAKE_AP_USAGE,256x64_REAL_AP_USAGE,256x96_FAKE_AP_USAGE,256x96_REAL_AP_USAGE,192x64_FAKE_AP_USAGE,192x64_REAL_AP_USAGE,384x64_FAKE_AP_USAGE,384x64_REAL_AP_USAGE
47,resnet50,Conv2d-48_back_data,64,512,7x7,2048,1x1,"(1, 1)","(0, 0)",7x7,"(13, 32)","(13, 22)","(17, 32)","(9, 32)",1.9259259259259258,1.8148148148148147,1.3240740740740742,1.2098765432098766,2.5185185185185186,2.419753086419753,1.3333333333333333,1.2098765432098764
48,resnet50,Conv2d-49_back_data,64,512,9x9,512,3x3,"(1, 1)","(0, 0)",7x7,"(13, 8)","(13, 6)","(17, 8)","(9, 8)",0.48148148148148145,0.45370370370370366,0.3611111111111111,0.3024691358024691,0.6296296296296297,0.6049382716049383,0.3333333333333333,0.3024691358024691
49,resnet50,Conv2d-50_back_data,64,2048,7x7,512,1x1,"(1, 1)","(0, 0)",7x7,"(13, 8)","(13, 6)","(17, 8)","(9, 8)",0.48148148148148145,0.45370370370370366,0.3611111111111111,0.3024691358024691,0.6296296296296297,0.6049382716049383,0.3333333333333333,0.3024691358024691
50,resnet50,Conv2d-51_back_data,64,512,7x7,2048,1x1,"(1, 1)","(0, 0)",7x7,"(13, 32)","(13, 22)","(17, 32)","(9, 32)",1.9259259259259258,1.8148148148148147,1.3240740740740742,1.2098765432098766,2.5185185185185186,2.419753086419753,1.3333333333333333,1.2098765432098764
51,resnet50,Conv2d-52_back_data,64,512,9x9,512,3x3,"(1, 1)","(0, 0)",7x7,"(13, 8)","(13, 6)","(17, 8)","(9, 8)",0.48148148148148145,0.45370370370370366,0.3611111111111111,0.3024691358024691,0.6296296296296297,0.6049382716049383,0.3333333333333333,0.3024691358024691
52,resnet50,Conv2d-53_back_data,64,2048,7x7,512,1x1,"(1, 1)","(0, 0)",7x7,"(13, 8)","(13, 6)","(17, 8)","(9, 8)",0.48148148148148145,0.45370370370370366,0.3611111111111111,0.3024691358024691,0.6296296296296297,0.6049382716049383,0.3333333333333333,0.3024691358024691
53,resnet50,Conv2d-1_back_data,128,64,230x230,3,7x7,"(1, 1)","(0, 0)",224x224,"(25088, 1)","(25088, 1)","(33451, 1)","(16726, 1)",116.14814814814815,5.444444444444445,116.14814814814815,3.6296296296296298,154.86574074074073,7.259259259259259,77.43518518518519,3.6296296296296298
54,resnet50,Conv2d-2_back_data,128,64,56x56,64,1x1,"(1, 1)","(0, 0)",56x56,"(1568, 1)","(1568, 1)","(2091, 1)","(1046, 1)",7.2592592592592595,7.2592592592592595,7.2592592592592595,4.839506172839506,9.680555555555555,9.679012345679011,4.842592592592593,4.8395061728395055
55,resnet50,Conv2d-3_back_data,128,64,58x58,64,3x3,"(1, 1)","(0, 0)",56x56,"(1568, 1)","(1568, 1)","(2091, 1)","(1046, 1)",7.2592592592592595,7.2592592592592595,7.2592592592592595,4.839506172839506,9.680555555555555,9.679012345679011,4.842592592592593,4.8395061728395055
56,resnet50,Conv2d-4_back_data,128,256,56x56,64,1x1,"(1, 1)","(0, 0)",56x56,"(1568, 1)","(1568, 1)","(2091, 1)","(1046, 1)",7.2592592592592595,7.2592592592592595,7.2592592592592595,4.839506172839506,9.680555555555555,9.679012345679011,4.842592592592593,4.8395061728395055
57,resnet50,Conv2d-5_back_data,128,256,56x56,64,1x1,"(1, 1)","(0, 0)",56x56,"(1568, 1)","(1568, 1)","(2091, 1)","(1046, 1)",7.2592592592592595,7.2592592592592595,7.2592592592592595,4.839506172839506,9.680555555555555,9.679012345679011,4.842592592592593,4.8395061728395055
58,resnet50,Conv2d-6_back_data,128,64,56x56,256,1x1,"(1, 1)","(0, 0)",56x56,"(1568, 4)","(1568, 3)","(2091, 4)","(1046, 4)",29.037037037037038,29.037037037037038,21.77777777777778,19.358024691358025,38.72222222222222,38.716049382716044,19.37037037037037,19.358024691358022
59,resnet50,Conv2d-7_back_data,128,64,58x58,64,3x3,"(1, 1)","(0, 0)",56x56,"(1568, 1)","(1568, 1)","(2091, 1)","(1046, 1)",7.2592592592592595,7.2592592592592595,7.2592592592592595,4.839506172839506,9.680555555555555,9.679012345679011,4.842592592592593,4.8395061728395055
60,resnet50,Conv2d-8_back_data,128,256,56x56,64,1x1,"(1, 1)","(0, 0)",56x56,"(1568, 1)","(1568, 1)","(2091, 1)","(1046, 1)",7.2592592592592595,7.2592592592592595,7.2592592592592595,4.839506172839506,9.680555555555555,9.679012345679011,4.842592592592593,4.8395061728395055
61,resnet50,Conv2d-9_back_data,128,64,56x56,256,1x1,"(1, 1)","(0, 0)",56x56,"(1568, 4)","(1568, 3)","(2091, 4)","(1046, 4)",29.037037037037038,29.037037037037038,21.77777777777778,19.358024691358025,38.72222222222222,38.716049382716044,19.37037037037037,19.358024691358022
62,resnet50,Conv2d-10_back_data,128,64,58x58,64,3x3,"(1, 1)","(0, 0)",56x56,"(1568, 1)","(1568, 1)","(2091, 1)","(1046, 1)",7.2592592592592595,7.2592592592592595,7.2592592592592595,4.839506172839506,9.680555555555555,9.679012345679011,4.842592592592593,4.8395061728395055
